group,seed,survived,refresh,eat,divide,pop,energy
g4_nonopt_gate_exp,7059,true,0.008496,0.267132,0.022132,30.05,27.20
g4_nonopt_gate_ctrl,7059,true,0.008508,0.286791,0.022107,30.35,26.37
g2_opt_gate,7060,true,0.014656,0.155001,0.021810,127.37,30.18
g3_nonopt_nogate,7060,true,0.224717,0.152421,0.096372,31.98,24.27
g4_nonopt_gate_exp,7060,true,0.036224,0.258343,0.020293,26.27,31.48
g4_nonopt_gate_ctrl,7060,true,0.016950,0.298792,0.021252,28.61,28.56
g2_opt_gate,7061,true,0.179797,0.184623,0.072363,148.31,27.80
g3_nonopt_nogate,7061,true,0.009566,0.361952,0.096053,28.11,24.59
g4_nonopt_gate_exp,7061,true,0.051916,0.235819,0.022709,30.63,26.32
g4_nonopt_gate_ctrl,7061,true,0.072308,0.228510,0.020511,26.14,32.05
g2_opt_gate,7062,true,0.012514,0.219632,0.016656,117.98,36.81
g3_nonopt_nogate,7062,true,0.132092,0.247423,0.083357,21.41,33.59
g4_nonopt_gate_exp,7062,true,0.008708,0.227382,0.022077,30.06,26.71
g4_nonopt_gate_ctrl,7062,true,0.128982,0.233426,0.089328,21.39,26.78
g2_opt_gate,7063,true,0.021411,0.152241,0.021410,131.42,30.72
g3_nonopt_nogate,7063,true,0.210374,0.142151,0.084295,23.99,28.22
g4_nonopt_gate_exp,7063,true,0.008551,0.223928,0.022088,30.24,26.62
g4_nonopt_gate_ctrl,7063,true,0.013205,0.300677,0.022194,30.65,26.76
g2_opt_gate,7064,true,0.014665,0.219681,0.016510,116.07,37.22
g3_nonopt_nogate,7064,true,0.009270,0.365484,0.162062,29.22,20.85
g4_nonopt_gate_exp,7064,true,0.008557,0.249565,0.022087,30.09,26.97
g4_nonopt_gate_ctrl,7064,true,0.016936,0.213702,0.021233,28.43,28.81
g2_opt_gate,7065,true,0.023316,0.151417,0.021148,127.17,31.17
g3_nonopt_nogate,7065,true,0.076581,0.209609,0.110262,27.71,23.37
g4_nonopt_gate_exp,7065,true,0.008514,0.218409,0.022105,30.28,26.40
g4_nonopt_gate_ctrl,7065,true,0.224451,0.152516,0.096068,32.02,24.26
g2_opt_gate,7066,true,0.031919,0.215545,0.018508,103.46,36.90
g3_nonopt_nogate,7066,true,0.009524,0.327635,0.095040,27.67,33.61
g4_nonopt_gate_exp,7066,true,0.016967,0.298857,0.021261,28.56,28.82
g4_nonopt_gate_ctrl,7066,true,0.026751,0.209304,0.020231,26.48,31.44
