seed,group,survived,pop,energy,refresh,eat,divide
9083,exp,true,7.00,96.27,0.223951,0.223951,0.000000
9083,ctrl,true,35.26,26.40,0.006397,0.299827,0.022114
9084,exp,true,24.33,34.88,0.037759,0.144918,0.019011
9084,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9085,exp,true,9.00,94.78,0.223078,0.210854,0.000000
9085,ctrl,true,39.29,26.20,0.197930,0.109625,0.021760
9086,exp,true,3.00,79.59,0.202996,0.166326,0.000000
9086,ctrl,true,29.60,31.11,0.000102,0.214050,0.020091
9087,exp,true,24.00,35.09,0.053377,0.270041,0.019092
9087,ctrl,true,26.66,34.15,0.051810,0.272710,0.050519
9088,exp,true,14.38,44.82,0.147048,0.378953,0.082055
9088,ctrl,true,38.77,24.97,0.000201,0.247530,0.022702
9089,exp,true,29.69,26.93,0.008420,0.303668,0.021955
9089,ctrl,true,41.35,21.47,0.176586,0.202493,0.064002
9090,exp,true,4.00,96.48,0.226898,0.226898,0.000000
9090,ctrl,true,37.62,25.47,0.000390,0.251432,0.022307
9091,exp,true,5.00,97.17,0.216722,0.216722,0.000000
9091,ctrl,true,39.60,24.67,0.000070,0.218452,0.022816
9092,exp,true,5.00,96.41,0.225522,0.203520,0.000000
9092,ctrl,true,29.63,31.29,0.022892,0.289868,0.020390
9093,exp,true,25.69,31.53,0.009954,0.211862,0.019986
9093,ctrl,true,40.07,25.05,0.000209,0.306672,0.022940
9094,exp,true,3.00,81.35,0.221856,0.251192,0.000000
9094,ctrl,true,41.38,24.60,0.003366,0.301571,0.066528
9095,exp,true,8.00,95.48,0.224148,0.224147,0.000000
9095,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9096,exp,true,32.94,28.41,0.007637,0.154952,0.022113
9096,ctrl,true,37.88,26.31,0.008770,0.302932,0.065048
9097,exp,true,29.92,29.03,0.088740,0.218542,0.044884
9097,ctrl,true,45.31,24.84,0.174055,0.125496,0.066019
9098,exp,true,9.00,93.87,0.223689,0.188241,0.000000
9098,ctrl,true,38.78,24.79,0.000200,0.258755,0.022691
9099,exp,true,33.02,28.35,0.007621,0.154831,0.022115
9099,ctrl,true,38.77,24.65,0.000157,0.222276,0.022702
